epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.5406618118286133,0.0010000000474974513,1.428515076637268,0.7739130258560181,0.7933117151260376
1,0.7192932963371277,0.0010000000474974513,0.8242617249488831,0.8463768362998962,0.5093936324119568
2,0.7607964277267456,0.0010000000474974513,0.6956031322479248,0.8782608509063721,0.41451722383499146
3,0.7983735203742981,0.0010000000474974513,0.594858705997467,0.8898550868034363,0.3637353777885437
4,0.8140773773193359,0.0010000000474974513,0.5476927161216736,0.8985507488250732,0.3410838842391968
5,0.8208076357841492,0.0010000000474974513,0.513963520526886,0.8927536010742188,0.34875428676605225
6,0.8387548923492432,0.0010000000474974513,0.4684728980064392,0.9014492630958557,0.33283135294914246
7,0.8488502502441406,0.0010000000474974513,0.4411134719848633,0.9014492630958557,0.31880852580070496
8,0.846045970916748,0.0010000000474974513,0.4515470862388611,0.9014492630958557,0.3116818070411682
9,0.8603477478027344,0.0010000000474974513,0.39230218529701233,0.9130434989929199,0.29390570521354675
10,0.8589456081390381,0.0010000000474974513,0.41204068064689636,0.9130434989929199,0.26966485381126404
11,0.866236686706543,0.0010000000474974513,0.373024582862854,0.9333333373069763,0.26718050241470337
12,0.8740885853767395,0.0010000000474974513,0.3660068213939667,0.9362319111824036,0.23700132966041565
13,0.8774537444114685,0.0010000000474974513,0.3598213493824005,0.904347836971283,0.26982513070106506
14,0.8791362643241882,0.0010000000474974513,0.3321192264556885,0.9130434989929199,0.24502308666706085
